Non targets;;;
hsa-miR-657;2146;X;Functional MTI
hsa-miR-658;2146;X;Functional MTI
hsa-miR-659-5p;5347;X;Functional MTI
hsa-miR-660-5p;5347;X;Functional MTI
hsa-miR-421;5347;X;Functional MTI
hsa-miR-542-5p;5347;X;Functional MTI
hsa-miR-758-5p;5347;X;Functional MTI
hsa-miR-1264;5347;X;Functional MTI
hsa-miR-671-5p;50804;X;Functional MTI
hsa-miR-668-5p;1025;X;Functional MTI
hsa-miR-550a-3-5p;1050;X;Functional MTI
hsa-miR-767-5p;4205;X;Functional MTI
hsa-miR-1224-5p;4205;X;Functional MTI
hsa-miR-151b;2626;X;Functional MTI
hsa-miR-320b;3845;X;Functional MTI
hsa-miR-320c;1021;X;Functional MTI
hsa-miR-1296-5p;1021;X;Functional MTI
hsa-miR-1468-5p;4609;X;Functional MTI
hsa-miR-1323;4609;X;Functional MTI
hsa-miR-1271-5p;4609;X;Functional MTI
hsa-miR-1301-5p;4609;X;Functional MTI
hsa-miR-454-5p;596;X;Functional MTI
hsa-miR-1185-5p;208;X;Functional MTI
hsa-miR-449c-5p;208;X;Functional MTI
hsa-miR-1283;4582;X;Functional MTI
hsa-miR-769-5p;4582;X;Functional MTI
hsa-miR-766-5p;4582;X;Functional MTI
hsa-miR-320b;351;X;Functional MTI
hsa-miR-378d;351;X;Functional MTI
hsa-miR-1185-5p;351;X;Functional MTI
hsa-miR-762;2309;X;Functional MTI
hsa-miR-802;2309;X;Functional MTI
hsa-miR-670-5p;4204;X;Functional MTI
hsa-miR-1298-5p;4204;X;Functional MTI
hsa-miR-2113;4204;X;Functional MTI
hsa-miR-761;4204;X;Functional MTI
hsa-miR-764;6667;X;Functional MTI
hsa-miR-759;6667;X;Functional MTI
hsa-miR-765;6667;X;Functional MTI
hsa-miR-770-5p;6667;X;Functional MTI
hsa-miR-675-5p;6667;X;Functional MTI
hsa-miR-298;51147;X;Functional MTI
hsa-miR-891a-5p;51147;X;Functional MTI
hsa-miR-300;7097;X;Functional MTI
hsa-miR-892a;5655;X;Functional MTI
hsa-miR-509-5p;5655;X;Functional MTI
hsa-miR-450b-5p;5655;X;Functional MTI
hsa-miR-874-5p;8651;X;Functional MTI
hsa-miR-890;8651;X;Functional MTI
hsa-miR-891b;8651;X;Functional MTI
hsa-miR-888-5p;8651;X;Functional MTI
hsa-miR-892b;8651;X;Functional MTI
hsa-miR-541-5p;8651;X;Functional MTI
hsa-miR-889-5p;8651;X;Functional MTI
hsa-miR-875-5p;8651;X;Functional MTI
hsa-miR-876-5p;4646;X;Functional MTI
hsa-miR-708-5p;4646;X;Functional MTI
hsa-miR-147b;4646;X;Functional MTI
hsa-miR-190b;2956;X;Functional MTI
hsa-miR-744-5p;4436;X;Functional MTI
hsa-miR-885-5p;4292;X;Functional MTI
hsa-miR-877-5p;4292;X;Functional MTI
hsa-miR-887-5p;28511;X;Functional MTI
hsa-miR-665;28511;X;Functional MTI
hsa-miR-873-5p;1582;X;Functional MTI
hsa-miR-543;1581;X;Functional MTI
hsa-miR-374b-5p;1278;X;Functional MTI
hsa-miR-760;4171;X;Functional MTI
hsa-miR-301b-5p;4609;X;Functional MTI
hsa-miR-216b-5p;4609;X;Functional MTI
hsa-miR-208b-5p;4609;X;Functional MTI
hsa-miR-920;1947;X;Functional MTI
hsa-miR-921;595;X;Functional MTI
hsa-miR-922;595;X;Functional MTI
hsa-miR-924;595;X;Functional MTI
hsa-miR-509-3-5p;6091;X;Functional MTI
hsa-miR-933;3716;X;Functional MTI
hsa-miR-934;3716;X;Functional MTI
hsa-miR-935;5520;X;Functional MTI
hsa-miR-936;26524;X;Functional MTI
hsa-miR-937-5p;50650;X;Functional MTI
hsa-miR-938;9475;X;Functional MTI
hsa-miR-939-5p;389;X;Functional MTI
hsa-miR-940;389;X;Functional MTI
hsa-miR-941;389;X;Functional MTI
hsa-miR-941;389;X;Functional MTI
hsa-miR-941;3091;X;Functional MTI
hsa-miR-941;6774;X;Functional MTI
hsa-miR-942-5p;6774;X;Functional MTI
hsa-miR-943;3091;X;Functional MTI
hsa-miR-944;3091;X;Functional MTI
hsa-miR-297;5728;X;Functional MTI
hsa-miR-1178-5p;5728;X;Functional MTI
hsa-miR-1179;5728;X;Functional MTI
hsa-miR-1180-5p;5728;X;Functional MTI
hsa-miR-1181;5728;X;Functional MTI
hsa-miR-1182;5728;X;Functional MTI
hsa-miR-1183;5728;X;Functional MTI
hsa-miR-1184;5728;X;Functional MTI
hsa-miR-1225-5p;5728;X;Functional MTI
hsa-miR-1226-5p;5728;X;Functional MTI
hsa-miR-1227-5p;5728;X;Functional MTI
hsa-miR-1228-5p;5728;X;Functional MTI
hsa-miR-1229-5p;51719;X;Functional MTI
hsa-miR-1231;51719;X;Functional MTI
hsa-miR-1233-5p;51719;X;Functional MTI
hsa-miR-1234-3p;6608;X;Functional MTI
hsa-miR-1236-5p;6608;X;Functional MTI
hsa-miR-1237-5p;6608;X;Functional MTI
hsa-miR-1238-5p;6608;X;Functional MTI
hsa-miR-1200;6608;X;Functional MTI
hsa-miR-1202;6608;X;Functional MTI
hsa-miR-1203;6608;X;Functional MTI
hsa-miR-663b;2735;X;Functional MTI
hsa-miR-1204;2735;X;Functional MTI
hsa-miR-1205;5728;X;Functional MTI
hsa-miR-1206;5728;X;Functional MTI
hsa-miR-1207-5p;5728;X;Functional MTI
hsa-miR-1208;5728;X;Functional MTI
hsa-miR-548e-5p;7157;X;Functional MTI
hsa-miR-548j-5p;7157;X;Functional MTI
hsa-miR-1285-5p;7157;X;Functional MTI
hsa-miR-1285-3p;7157;X;Functional MTI
hsa-miR-1286;7157;X;Functional MTI
hsa-miR-1287-5p;92;X;Functional MTI
hsa-miR-1289;92;X;Functional MTI
hsa-miR-1289;1026;X;Functional MTI
hsa-miR-1290;1026;X;Functional MTI
hsa-miR-1291;1026;X;Functional MTI
hsa-miR-548k;1026;X;Functional MTI
hsa-miR-1293;1026;X;Functional MTI
hsa-miR-1294;1026;X;Functional MTI
hsa-miR-1295a;1026;X;Functional MTI
hsa-miR-1297;1026;X;Functional MTI
hsa-miR-1299;1026;X;Functional MTI
hsa-miR-548l;1026;X;Functional MTI
hsa-miR-1302;1026;X;Functional MTI
hsa-miR-1302;1026;X;Functional MTI
hsa-miR-1302;1026;X;Functional MTI
hsa-miR-1302;1026;X;Functional MTI
hsa-miR-1302;1026;X;Functional MTI
hsa-miR-1302;1026;X;Functional MTI
hsa-miR-1302;1026;X;Functional MTI
hsa-miR-1302;1026;X;Functional MTI
hsa-miR-1303;1026;X;Functional MTI
hsa-miR-1304-5p;1026;X;Functional MTI
hsa-miR-1305;1026;X;Functional MTI
hsa-miR-1243;1026;X;Functional MTI
